,Open,High,Low,Close
2024-04-25,0.93200,0.93672,0.92998,0.93200
2024-04-24,0.93459,0.93644,0.93180,0.93459
2024-04-23,0.93420,0.93640,0.93320,0.93420
2024-04-22,0.93861,0.93991,0.93371,0.93861
2024-04-21,0.93828,0.94117,0.93710,0.93824
2024-04-18,0.93948,0.94235,0.93630,0.93948
2024-04-17,0.93726,0.93916,0.93530,0.93726
2024-04-16,0.94149,0.94267,0.93873,0.94149
2024-04-15,0.94111,0.94303,0.93861,0.94111
2024-04-14,0.93900,0.94130,0.93760,0.93900
2024-04-11,0.93224,0.94129,0.93200,0.93224
2024-04-10,0.93095,0.93454,0.92973,0.93095
2024-04-09,0.92087,0.93164,0.92010,0.92087
2024-04-08,0.92050,0.92167,0.91840,0.92050
2024-04-07,0.92332,0.92408,0.92095,0.92332
2024-04-04,0.92276,0.92664,0.92179,0.92276
2024-04-03,0.92265,0.92293,0.91947,0.92265
2024-04-02,0.92863,0.92896,0.92320,0.92863
2024-04-01,0.93134,0.93237,0.92775,0.93134
2024-03-31,0.92655,0.93183,0.92580,0.92655
2024-03-28,0.92640,0.92860,0.92530,0.92640
2024-03-27,0.92478,0.92803,0.92350,0.92478
2024-03-26,0.92316,0.92492,0.92257,0.92316
2024-03-25,0.92266,0.92370,0.92046,0.92266
2024-03-24,0.92528,0.92570,0.92220,0.92528
2024-03-21,0.92061,0.92515,0.92000,0.92061
2024-03-20,0.91431,0.92111,0.91370,0.91431
2024-03-19,0.92053,0.92277,0.91960,0.92053
2024-03-18,0.91963,0.92293,0.91930,0.91963
2024-03-17,0.91890,0.91905,0.91680,0.91890
2024-03-14,0.91883,0.91964,0.91730,0.91883
2024-03-13,0.91280,0.91877,0.91285,0.91280
2024-03-12,0.91510,0.91571,0.91330,0.91510
2024-03-11,0.91480,0.91716,0.91390,0.91480
2024-03-10,0.91383,0.91620,0.91320,0.91383
2024-03-07,0.91323,0.91516,0.91091,0.91323
2024-03-06,0.91747,0.92002,0.91400,0.91747
2024-03-05,0.92115,0.92226,0.91625,0.92115
2024-03-04,0.92122,0.92228,0.91951,0.92122
2024-03-03,0.92228,0.92263,0.92026,0.92228
2024-02-29,0.92550,0.92599,0.92238,0.92550
2024-02-28,0.92261,0.92544,0.92116,0.92261
2024-02-27,0.92210,0.92604,0.92190,0.92210
2024-02-26,0.92158,0.92305,0.92029,0.92158
2024-02-25,0.92425,0.92478,0.92089,0.92421
2024-02-22,0.92373,0.92475,0.92256,0.92373
2024-02-21,0.92418,0.92549,0.91859,0.92418
2024-02-20,0.92480,0.92662,0.92400,0.92480
2024-02-19,0.92804,0.92915,0.92263,0.92804
2024-02-18,0.92726,0.92911,0.92680,0.92722
2024-02-15,0.92817,0.93158,0.92760,0.92817
2024-02-14,0.93178,0.93238,0.92710,0.93178
2024-02-13,0.93380,0.93497,0.93158,0.93380
2024-02-12,0.92831,0.93440,0.92630,0.92831
2024-02-11,0.92608,0.92957,0.92546,0.92608
2024-02-08,0.92788,0.92903,0.92640,0.92788
2024-02-07,0.92801,0.93083,0.92680,0.92801
2024-02-06,0.92961,0.92968,0.92727,0.92961
2024-02-05,0.93094,0.93244,0.92910,0.93094
2024-02-04,0.92764,0.93243,0.92700,0.92764
2024-02-01,0.91957,0.92738,0.91760,0.91957
2024-01-31,0.92559,0.92762,0.92034,0.92559
2024-01-30,0.92222,0.92527,0.91864,0.92222
2024-01-29,0.92298,0.92484,0.92118,0.92298
2024-01-28,0.92221,0.92617,0.92168,0.92221
2024-01-25,0.92191,0.92478,0.91884,0.92191
2024-01-24,0.91897,0.92369,0.91740,0.91897
2024-01-23,0.92099,0.92150,0.91479,0.92099
2024-01-22,0.91910,0.92385,0.91590,0.91910
2024-01-21,0.91808,0.91909,0.91660,0.91808
2024-01-18,0.91919,0.92011,0.91805,0.91919
2024-01-17,0.91863,0.92177,0.91680,0.91863
2024-01-16,0.91922,0.92205,0.91870,0.91922
2024-01-15,0.91360,0.92021,0.91352,0.91360
2024-01-14,0.91360,0.91457,0.91250,0.91360
2024-01-11,0.91061,0.91432,0.91020,0.91061
2024-01-10,0.91115,0.91479,0.90980,0.91115
2024-01-09,0.91471,0.91547,0.91160,0.91471
2024-01-08,0.91310,0.91637,0.91180,0.91310
2024-01-07,0.91389,0.91537,0.91090,0.91389
2024-01-04,0.91346,0.91913,0.90939,0.91346
2024-01-03,0.91510,0.91600,0.91156,0.91510
2024-01-02,0.91393,0.91754,0.91183,0.91393
2024-01-01,0.90590,0.91391,0.90530,0.90590
2023-12-31,0.90450,0.90580,0.90470,0.90450
2023-12-28,0.90349,0.90553,0.90200,0.90349
2023-12-27,0.90020,0.90326,0.89771,0.90020
2023-12-26,0.90555,0.90668,0.89908,0.90555
2023-12-25,0.90742,0.90830,0.90580,0.90742
2023-12-24,0.90690,0.90910,0.90560,0.90690
2023-12-21,0.90858,0.90957,0.90575,0.90858
2023-12-20,0.91360,0.91439,0.90911,0.91360
2023-12-19,0.91066,0.91444,0.91077,0.91066
2023-12-18,0.91543,0.91608,0.91008,0.91543
2023-12-17,0.91783,0.91789,0.91491,0.91783
2023-12-14,0.90962,0.91724,0.90860,0.90962
2023-12-13,0.91860,0.91910,0.90875,0.91860
2023-12-12,0.92604,0.92816,0.92522,0.92604
2023-12-11,0.92880,0.92921,0.92404,0.92880
2023-12-10,0.92887,0.93082,0.92770,0.92887
2023-12-07,0.92660,0.93184,0.92588,0.92660
2023-12-06,0.92879,0.92957,0.92620,0.92879
2023-12-05,0.92647,0.92823,0.92561,0.92647
2023-12-04,0.92270,0.92742,0.92180,0.92270
2023-12-03,0.91843,0.92544,0.91850,0.91843
2023-11-30,0.91810,0.92323,0.91630,0.91810
2023-11-29,0.91127,0.91786,0.91030,0.91127
2023-11-28,0.90860,0.91231,0.90770,0.90860
2023-11-27,0.91254,0.91449,0.90850,0.91254
2023-11-26,0.91404,0.91526,0.91247,0.91404
2023-11-23,0.91690,0.91780,0.91373,0.91690
2023-11-22,0.91820,0.91844,0.91516,0.91820
2023-11-21,0.91590,0.92127,0.91554,0.91590
2023-11-20,0.91358,0.91550,0.91180,0.91358
2023-11-19,0.91684,0.91760,0.91365,0.91684
2023-11-16,0.92134,0.92377,0.91808,0.92134
2023-11-15,0.92127,0.92328,0.91794,0.92127
2023-11-14,0.91926,0.92311,0.91850,0.91926
2023-11-13,0.93442,0.93514,0.92020,0.93442
2023-11-12,0.93544,0.93760,0.93410,0.93544
2023-11-09,0.93742,0.93829,0.93523,0.93742
2023-11-08,0.93367,0.93620,0.93214,0.93367
2023-11-07,0.93492,0.93803,0.93318,0.93492
2023-11-06,0.93270,0.93767,0.93270,0.93270
2023-11-05,0.93178,0.93254,0.92963,0.93178
2023-11-02,0.94170,0.94202,0.93136,0.94170
2023-11-01,0.94455,0.94480,0.93720,0.94455
2023-10-31,0.94526,0.95031,0.94511,0.94526
2023-10-30,0.94206,0.94629,0.93729,0.94206
2023-10-29,0.94675,0.94801,0.94109,0.94675
2023-10-26,0.94657,0.94910,0.94360,0.94657
2023-10-25,0.94632,0.95000,0.94610,0.94632
2023-10-24,0.94381,0.94636,0.94280,0.94381
2023-10-23,0.93722,0.94480,0.93541,0.93722
2023-10-22,0.94429,0.94591,0.93920,0.94429
2023-10-19,0.94460,0.94645,0.94330,0.94460
2023-10-18,0.94890,0.94977,0.94470,0.94890
2023-10-17,0.94580,0.94993,0.94380,0.94580
2023-10-16,0.94748,0.94936,0.94384,0.94748
2023-10-15,0.95043,0.95090,0.94745,0.95043
2023-10-12,0.94906,0.95273,0.94710,0.94906
2023-10-11,0.94124,0.94823,0.93993,0.94124
2023-10-10,0.94297,0.94404,0.94042,0.94297
2023-10-09,0.94528,0.94733,0.94166,0.94528
2023-10-08,0.94630,0.95044,0.94550,0.94630
2023-10-05,0.94817,0.95384,0.94356,0.94817
2023-10-04,0.95174,0.95230,0.94905,0.95174
2023-10-03,0.95490,0.95660,0.94945,0.95490
2023-10-02,0.95413,0.95695,0.95290,0.95413
2023-10-01,0.94650,0.95304,0.94420,0.94650
2023-09-28,0.94675,0.94710,0.94180,0.94675
2023-09-27,0.95190,0.95312,0.94530,0.95190
2023-09-26,0.94612,0.95156,0.94574,0.94612
2023-09-25,0.94414,0.94624,0.94260,0.94414
2023-09-24,0.93910,0.94542,0.93849,0.93910
2023-09-21,0.93795,0.94204,0.93707,0.93795
2023-09-20,0.93870,0.94170,0.93689,0.93870
2023-09-19,0.93615,0.93670,0.93223,0.93615
2023-09-18,0.93522,0.93665,0.93290,0.93522
2023-09-17,0.93736,0.93841,0.93474,0.93736
2023-09-14,0.94010,0.94032,0.93566,0.94010
2023-09-13,0.93160,0.93852,0.92980,0.93160
2023-09-12,0.92995,0.93306,0.92890,0.92995
2023-09-11,0.93020,0.93404,0.92914,0.93020
2023-09-10,0.93300,0.93358,0.92964,0.93300
2023-09-07,0.93477,0.93501,0.93092,0.93477
2023-09-06,0.93247,0.93566,0.93160,0.93247
2023-09-05,0.93230,0.93413,0.93039,0.93230
2023-09-04,0.92640,0.93392,0.92600,0.92640
2023-09-03,0.92800,0.92816,0.92515,0.92800
2023-08-31,0.92216,0.92714,0.91905,0.92216
2023-08-30,0.91470,0.92275,0.91410,0.91470
2023-08-29,0.92003,0.92114,0.91362,0.92003
2023-08-28,0.92374,0.92734,0.92109,0.92374
2023-08-27,0.92615,0.92598,0.92410,0.92615
2023-08-24,0.92600,0.92879,0.92253,0.92600
2023-08-23,0.92032,0.92460,0.91938,0.92032
2023-08-22,0.92194,0.92567,0.91992,0.92194
2023-08-21,0.91757,0.92302,0.91475,0.91757
2023-08-20,0.91949,0.91991,0.91629,0.91949
2023-08-17,0.91957,0.92196,0.91780,0.91957
2023-08-16,0.91955,0.92061,0.91598,0.91955
2023-08-15,0.91708,0.91762,0.91452,0.91708
2023-08-14,0.91660,0.91736,0.91327,0.91660
2023-08-13,0.91371,0.91933,0.91238,0.91371
2023-08-10,0.91061,0.91309,0.90873,0.91061
2023-08-09,0.91094,0.91174,0.90429,0.91094
2023-08-08,0.91250,0.91275,0.90956,0.91250
2023-08-07,0.90883,0.91483,0.90828,0.90883
2023-08-06,0.90887,0.91190,0.90810,0.90887
2023-08-03,0.91311,0.91439,0.90572,0.91311
2023-08-02,0.91373,0.91629,0.91291,0.91373
2023-08-01,0.90844,0.91577,0.90851,0.90844
2023-07-31,0.90929,0.91287,0.90890,0.90929
2023-07-30,0.90709,0.90858,0.90535,0.90709
2023-07-27,0.91085,0.91349,0.90524,0.91085
2023-07-26,0.90266,0.91034,0.89670,0.90266
2023-07-25,0.90494,0.90593,0.90200,0.90494
2023-07-24,0.90390,0.90727,0.90180,0.90390
2023-07-23,0.89885,0.90344,0.89726,0.89885
2023-07-20,0.89790,0.90012,0.89710,0.89790
2023-07-19,0.89244,0.89822,0.89050,0.89244
2023-07-18,0.89056,0.89475,0.88970,0.89056
2023-07-17,0.88987,0.89126,0.88686,0.88987
2023-07-16,0.89065,0.89242,0.88880,0.89065
2023-07-13,0.89099,0.89237,0.88930,0.89099
2023-07-12,0.89730,0.89842,0.89316,0.89730
2023-07-11,0.90793,0.90803,0.89880,0.90793
2023-07-10,0.90860,0.91086,0.90698,0.90860
2023-07-09,0.91160,0.91370,0.90969,0.91160
2023-07-06,0.91822,0.92008,0.91202,0.91822
2023-07-05,0.92110,0.92299,0.91730,0.92110
2023-07-04,0.91870,0.92038,0.91691,0.91870
2023-07-03,0.91633,0.91821,0.91590,0.91633
2023-07-02,0.91680,0.91981,0.91480,0.91680
2023-06-29,0.92013,0.92281,0.91460,0.92013
2023-06-28,0.91610,0.92061,0.91402,0.91610
2023-06-27,0.91264,0.91746,0.91220,0.91264
2023-06-26,0.91655,0.91716,0.91107,0.91655
2023-06-25,0.91687,0.91843,0.91560,0.91687
2023-06-22,0.91250,0.92208,0.91250,0.91250
2023-06-21,0.90970,0.91315,0.90817,0.90970
2023-06-20,0.91572,0.91687,0.91230,0.91572
2023-06-19,0.91539,0.91789,0.91364,0.91539
2023-06-18,0.91390,0.91651,0.91330,0.91390
2023-06-15,0.91358,0.91574,0.91149,0.91358
2023-06-14,0.92225,0.92556,0.91420,0.92225
2023-06-13,0.92684,0.92801,0.92095,0.92684
2023-06-12,0.92911,0.92932,0.92400,0.92911
2023-06-11,0.93015,0.93159,0.92681,0.93015
2023-06-08,0.92741,0.93043,0.92700,0.92741
2023-06-07,0.93393,0.93439,0.92740,0.93393
2023-06-06,0.93475,0.93731,0.93108,0.93475
2023-06-05,0.93355,0.93744,0.93170,0.93355
2023-06-04,0.93470,0.93679,0.93260,0.93470
2023-06-01,0.92930,0.93300,0.92770,0.92930
2023-05-31,0.93500,0.93772,0.92989,0.93500
2023-05-30,0.93170,0.93882,0.93120,0.93170
2023-05-29,0.93391,0.93691,0.93060,0.93391
2023-05-28,0.93257,0.93403,0.93060,0.93257
2023-05-25,0.93245,0.93440,0.92958,0.93245
2023-05-24,0.92960,0.93371,0.92987,0.92960
2023-05-23,0.92853,0.93026,0.92598,0.92853
2023-05-22,0.92498,0.92904,0.92410,0.92498
2023-05-21,0.92398,0.92622,0.92330,0.92398
2023-05-18,0.92804,0.92928,0.92388,0.92804
2023-05-17,0.92265,0.92890,0.92170,0.92265
2023-05-16,0.92033,0.92493,0.91950,0.92033
2023-05-15,0.91965,0.92109,0.91713,0.91965
2023-05-14,0.92143,0.92178,0.91810,0.92143
2023-05-11,0.91641,0.92118,0.91448,0.91641
2023-05-10,0.91041,0.91732,0.90920,0.91041
2023-05-09,0.91202,0.91384,0.90870,0.91202
2023-05-08,0.90941,0.91374,0.90900,0.90941
2023-05-07,0.90755,0.90806,0.90470,0.90755
2023-05-04,0.90720,0.91144,0.90514,0.90720
2023-05-03,0.90343,0.91018,0.90160,0.90343
2023-05-02,0.90819,0.90860,0.90431,0.90819
2023-05-01,0.91164,0.91378,0.90866,0.91164
2023-04-30,0.90819,0.91183,0.90616,0.90819
2023-04-27,0.90645,0.91194,0.90549,0.90645
2023-04-26,0.90520,0.90957,0.90370,0.90520
2023-04-25,0.91088,0.91164,0.90138,0.91088
2023-04-24,0.90420,0.91164,0.90350,0.90420
2023-04-23,0.90973,0.91168,0.90627,0.90973
2023-04-20,0.91150,0.91410,0.90971,0.91150
2023-04-19,0.91306,0.91455,0.91000,0.91306
2023-04-18,0.91113,0.91589,0.91020,0.91113
2023-04-17,0.91530,0.91552,0.91046,0.91530
2023-04-16,0.91020,0.91653,0.90917,0.91020
2023-04-13,0.90460,0.91091,0.90290,0.90460
2023-04-12,0.90910,0.91061,0.90342,0.90910
2023-04-11,0.91596,0.91615,0.90921,0.91596
2023-04-10,0.92002,0.92013,0.91519,0.92002
2023-04-09,0.91629,0.92315,0.91590,0.91629
2023-04-06,0.91574,0.91903,0.91530,0.91574
2023-04-05,0.91715,0.91865,0.91490,0.91715
2023-04-04,0.91240,0.91698,0.91164,0.91240
2023-04-03,0.91640,0.91879,0.91144,0.91640
2023-04-02,0.92564,0.92684,0.91611,0.92564
2023-03-30,0.91704,0.92076,0.91526,0.91704
2023-03-29,0.92220,0.92362,0.91542,0.92220
2023-03-28,0.92255,0.92410,0.91979,0.92255
2023-03-27,0.92532,0.92558,0.92174,0.92532
2023-03-26,0.92780,0.93040,0.92627,0.92780
2023-03-23,0.92293,0.93293,0.92259,0.92293
2023-03-22,0.91993,0.92008,0.91500,0.91993
2023-03-21,0.92814,0.92941,0.92580,0.92814
2023-03-20,0.93291,0.93415,0.92702,0.93291
2023-03-19,0.93643,0.94052,0.93192,0.93643
2023-03-16,0.94214,0.94232,0.93724,0.94214
2023-03-15,0.94488,0.94741,0.94033,0.94488
2023-03-14,0.93217,0.95054,0.92936,0.93217
2023-03-13,0.93240,0.93636,0.93048,0.93240
2023-03-12,0.93601,0.93876,0.93134,0.93601
2023-03-09,0.94476,0.94556,0.93470,0.94476
2023-03-08,0.94791,0.94890,0.94460,0.94791
2023-03-07,0.94780,0.94997,0.94578,0.94780
2023-03-06,0.93560,0.94593,0.93490,0.93560
2023-03-05,0.94107,0.94135,0.93512,0.94107
2023-03-02,0.94342,0.94417,0.94080,0.94342
2023-03-01,0.93730,0.94487,0.93697,0.93730
2023-02-28,0.94542,0.94646,0.93536,0.94542
2023-02-27,0.94240,0.94497,0.93941,0.94240
2023-02-26,0.94744,0.94935,0.94174,0.94744
2023-02-23,0.94357,0.94897,0.94213,0.94357
2023-02-22,0.94288,0.94500,0.94070,0.94288
2023-02-21,0.93879,0.94170,0.93760,0.93879
2023-02-20,0.93610,0.93942,0.93496,0.93610
2023-02-19,0.93594,0.93707,0.93410,0.93594
2023-02-16,0.93758,0.94217,0.93620,0.93758
2023-02-15,0.93530,0.93846,0.93264,0.93530
2023-02-14,0.93147,0.93756,0.93070,0.93147
2023-02-13,0.93193,0.93371,0.92606,0.93193
2023-02-12,0.93653,0.93833,0.93240,0.93653
2023-02-09,0.93090,0.93727,0.93008,0.93090
2023-02-08,0.93320,0.93357,0.92675,0.93320
2023-02-07,0.93199,0.93311,0.92935,0.93199
2023-02-06,0.93190,0.93725,0.93058,0.93190
2023-02-05,0.92671,0.93298,0.92590,0.92671
2023-02-02,0.91700,0.92498,0.91402,0.91700
2023-02-01,0.90803,0.91847,0.90690,0.90803
2023-01-31,0.92073,0.92141,0.91538,0.92073
2023-01-30,0.92160,0.92557,0.92010,0.92160
2023-01-29,0.91984,0.92127,0.91617,0.91984
2023-01-26,0.91790,0.92261,0.91730,0.91790
2023-01-25,0.91558,0.92152,0.91470,0.91558
2023-01-24,0.91843,0.92097,0.91553,0.91843
2023-01-23,0.91960,0.92257,0.91770,0.91960
2023-01-22,0.92041,0.92187,0.91579,0.92038
2023-01-19,0.92303,0.92553,0.92110,0.92303
2023-01-18,0.92611,0.92739,0.92310,0.92611
2023-01-17,0.92650,0.92876,0.91874,0.92650
2023-01-16,0.92335,0.92704,0.92004,0.92335
2023-01-15,0.92382,0.92570,0.91950,0.92382
2023-01-12,0.92079,0.92759,0.92015,0.92079
2023-01-11,0.92885,0.93127,0.92265,0.92885
2023-01-10,0.93119,0.93224,0.92810,0.93119
2023-01-09,0.93169,0.93343,0.92964,0.93169
2023-01-08,0.93841,0.93872,0.92941,0.93841
2023-01-05,0.95037,0.95372,0.94142,0.95037
2023-01-04,0.94283,0.95097,0.94050,0.94283
2023-01-03,0.94815,0.94823,0.94060,0.94815
2023-01-02,0.93653,0.95043,0.93610,0.93653
2023-01-01,0.93373,0.93868,0.93350,0.93373
2022-12-29,0.93802,0.93992,0.93476,0.93802
2022-12-28,0.94080,0.94230,0.93719,0.94080
2022-12-27,0.94010,0.94216,0.93683,0.94010
2022-12-26,0.93983,0.94229,0.93729,0.93983
2022-12-25,0.93740,0.94260,0.94010,0.93740
2022-12-22,0.94310,0.94447,0.94063,0.94310
2022-12-21,0.94250,0.94482,0.93831,0.94250
2022-12-20,0.94100,0.94366,0.93954,0.94100
2022-12-19,0.94210,0.94512,0.93848,0.94210
2022-12-18,0.94473,0.94543,0.93817,0.94473
2022-12-15,0.93980,0.94345,0.93780,0.93980
2022-12-14,0.93665,0.94274,0.93235,0.93665
2022-12-13,0.94103,0.94161,0.93722,0.94103
2022-12-12,0.94861,0.94973,0.93730,0.94861
2022-12-11,0.95037,0.95174,0.94525,0.95037
2022-12-08,0.94700,0.95057,0.94443,0.94700
2022-12-07,0.95118,0.95314,0.94669,0.95118
2022-12-06,0.95520,0.95751,0.94821,0.95520
2022-12-05,0.95266,0.95447,0.94948,0.95266
2022-12-04,0.94839,0.95307,0.94392,0.94839
2022-12-01,0.94981,0.95839,0.94830,0.94981
2022-11-30,0.95920,0.96173,0.94954,0.95920
2022-11-29,0.96857,0.97160,0.96204,0.96857
2022-11-28,0.96660,0.96848,0.96208,0.96660
2022-11-27,0.96455,0.96689,0.95268,0.96455
2022-11-24,0.96079,0.96561,0.95886,0.96079
